,x,y,label,title
0,-0.44144087963351486,-0.600767630805198,0,Feel Your Heartbeat: The Film (2022)
1,0.7303269263165842,0.045129790552452705,0,The Witcher 3: Wild Hunt - Blood and Wine (2016)
2,-0.7361274252211994,0.09654780955099544,0,The Witcher 3: Wild Hunt - Hearts of Stone (2015)
3,-0.07270009505730143,0.7091640490217724,1,Brothers from Malta (2022)
4,0.3509796501848595,0.17101399527278374,0,The Priceless Moments (2021)
5,-0.1334087960112405,0.02014338392688621,3,Dancing Through the Shadow (2021)
6,-0.21558801187384316,-0.6412352941016983,2,Legend of the Galactic Heroes (1988)
7,0.8238659092114912,-0.015059500466254382,0,"Carlo Goldoni: Venezia, Gran Teatro del Mondo (2007)"
8,0.7295397590480857,-0.22818635502906032,0,Voynata na taralezhite (1979)
9,-0.1351035924343534,-0.41879067562793415,3,Flames (2018)
10,-0.23555486510264226,-0.6976421894295739,2,The Mystery of the Black Book (2019)
11,-0.8109817075679024,0.1014800380766806,0,A tanú (1969)
12,0.1838432433792853,-0.5877004986625897,2,The Big Picture (2007)
13,-0.5665490635091347,-0.1955036167843226,0,"Pretty Village, Pretty Flame (1996)"
14,0.12807297531310446,0.7236743739126122,0,Yakhanyeongung (2022)
15,-0.4150939979783803,0.38347238450398036,3,The Intouchables (2011)
16,-0.4744909714025577,-0.6855425870049281,0,Attack on Titan: Chronicle (2020)
17,0.0780777828694692,-0.7338563198856514,3,Midnight Diner: Tokyo Stories (2016)
18,-0.3504462650325871,0.6956093899931552,0,Capernaum (2018)
19,-0.2225651610649656,-0.6973963120829942,2,Flames: The Movie (1997)
20,-0.6345791194710212,-0.19396660028011123,3,Ernest & Rebecca (2019)
21,-0.3963352183542606,0.01896116502574133,4,Heartbeat (2021)
22,0.27909748114979216,-0.2740830977488088,2,The Hunt (2012)
23,-0.04671532993040999,0.5490886919694056,1,Pather Panchali (1955)
24,-0.22295690683102862,0.6774128670124131,1,Incendies (2010)
25,0.5948290054605044,-0.48764916244569717,0,Supercops V/S Supervillains (2012)
26,-0.3788373105326609,-0.5964451452578524,3,The Lemon Tree (1993)
27,-0.23567946959936528,-0.7606823125539307,0,The Case Is Solved. I Know Everyone Who Tried to Kill Me (2020)
28,0.592752018871362,0.06948740356952533,0,Not Knowing Who You Are Is a Beautiful Source of Surprises (2016)
29,-0.7505858486231741,0.22117839906997713,0,The Passion of Joan of Arc (1928)
30,-0.2864961145255769,-0.6215831242544928,2,An Action Hero (2022)
31,0.5343116806773727,-0.1611924667533301,0,Rocco and His Brothers (1960)
32,-0.6591089124881064,0.4510829113594052,0,The Grandmaster of Kungfu (2019)
33,-0.22256516103683796,-0.6973963121008042,2,Black Butler: Book of Circus (2014)
34,-0.659108916464025,0.4510829065339032,0,Legend of the Blue Sea (2016)
35,-0.06226375966154712,0.1856000864453414,0,Mobile Suit Zeta Gundam (1985)
36,-0.47404575504512386,-0.4625853469713052,4,@ in the Mood for Love (2001)
37,-0.6148960418753628,-0.43200795202218023,0,The War on Drugs (2007)
38,0.031440780318127,0.18096485465178164,3,Un amour à taire (2005)
39,-0.8170414583203345,-0.03331161018248656,0,Jean Michel Jarre: Oxygene in Moscow (1997)
40,-0.5442598723546175,-0.4210535809282424,3,Oxygen (2018)
41,-0.7036635705156963,-0.19647062958113065,0,Path of Exile (2012)
42,0.7220028343537775,0.10248538826554561,0,Tokyo Girl (2016)
43,-0.48602753190792186,0.5739271174600614,0,Perfect Blue (1997)
44,-0.38256403870649197,0.6711369607073916,0,The Long Road Home (1989)
45,-0.566473452223225,0.3746283205925047,0,Everybody Wants to Help Ernest (1991)
46,-0.5748750696979605,-0.11760027481875025,3,Steamin' and Dreamin': The Grandmaster Cash Story (2009)
47,0.037511521934451786,0.7110143962918736,1,Liebe Amelie (2005)
48,0.425800005690167,-0.005949474263928083,0,The Long Road Home (2012)
49,0.1894254124642388,-0.634519138975279,3,Infernal Affairs (2002)
50,-0.09644206798573655,-0.6892077293797813,3,The Beaches of Agnès (2008)
51,0.07202680698013401,-0.414203856293489,0,Black Butler: Book of Murder (2014)
52,0.46564070883744046,-0.3234546123721176,0,Mommy (2014)
53,0.298027484165957,0.3506437099106913,3,Girls Hostel (2018)
54,0.05117435920487897,-0.6547097002646773,3,Fearless Whispers (2020)
55,0.27211098354589003,-0.7193882009097272,0,Athena Ex Nihilo (2013)
56,-0.19611128447399664,-0.7692643830329274,0,The Fairy Faith (2000)
57,0.11993586123760182,-0.6250973495175566,3,24 Hrs. In the City (2003)
58,-0.48643854897793937,0.5735860087411786,0,Cléo from 5 to 7 (1962)
59,0.758160851424959,-0.06674435392552654,0,Elevator to the Gallows (1958)
60,0.3253424728448427,-0.196017612975432,2,Three Colors: Blue (1993)
61,0.4597595471797684,0.06947959738322829,0,The Arbit Documentation of An Amphibian Hunt: Aavasavyuham (2022)
62,0.14577649799153428,0.15054018712031023,1,Amour (2012)
63,-0.5618994948177121,-0.2779386227740539,2,Last Exile (2003)
64,-0.019170340623577753,-0.7953255227831206,0,Sonic the Hedgehog CD (1993)
65,-0.23431673010258963,0.6411969294133737,1,The Two of Us (2009)
66,0.8069500784736097,0.17074295221674107,0,"Ernest and Célestine, The Collection (2017)"
67,0.30151962624630657,-0.7673835354916237,0,Mazinger Z (1972)
68,-0.4614893544044702,-0.6063514929309458,0,A Year at the Front: Behind the Scenes of 'A Very Long Engagement' (2005)
69,0.2615197513584254,-0.0334568714054802,0,The Music According to Antonio Carlos Jobim (2012)
70,0.23465890548477697,-0.4304516217066878,2,Tokyo Godfathers (2003)
