Movie Name,Audience Score,Tomatometer Score,Rating,Genre,Original Language,Director,Producer,Writer,Release Date (Theaters),Release Date (Streaming),Box Office (Gross USA),Runtime,Distributor,Sound Mix,Aspect Ratio,View the collection
PLAYTIME,89,98,None,Comedy,French (Canada),Jacques Tati,Bernard Maurice,"Art Buchwald, Jacques Lagrange, Jacques Tati",1973-06-27,2006-09-05,,1h 33m,Criterion Collection,Magnetic Stereo 6 Track,,
THE PASSION OF JOAN OF ARC,93,98,None,"History, Drama, Biography",,Carl Theodor Dreyer,,"Carl Theodor Dreyer, Joseph Delteil",1928-04-21,1999-11-09,$6.4K,1h 17m,"Criterion Collection, Video Yesteryear, Janus Films, LS Video",,35mm,
THE RED TURTLE,81,93,PG,"Adventure, Animation",Unknown language,Michael Dudok de Wit,"Valérie Schermann, Christophe Jankovic","Michael Dudok de Wit, Pascale Ferran",2017-01-20,2017-05-02,$920.1K,1h 20m,Sony Pictures Classics,,,
A CAT IN PARIS,72,83,PG,"Kids & Family, Crime, Drama, Mystery & Thriller, Animation",French (Canada),"Jean-Loup Felicioli, Alain Gagnol",Jacques-Rémy Girerd,"Alain Gagnol, Jacques-Rémy Girerd",2012-06-01,2012-10-09,,1h 5m,GKIDS,,,
A SCREAMING MAN,61,88,None,Drama,French (Canada),Mahamat-Saleh Haroun,Florence Stern,"Mahamat-Saleh Haroun, Mahamat-Saleh Haroun",2011-04-13,2011-08-02,$9.9K,1h 32m,Film Movement,,,
A SUMMER'S TALE,82,98,None,"Romance, Comedy",French (Canada),Éric Rohmer,Francoise Etchegaray,Éric Rohmer,2014-06-20,2016-08-10,$198.1K,1h 53m,Big World Pictures,,,
A TOWN CALLED PANIC,85,81,PG,"Kids & Family, Adventure, Comedy, Fantasy, Animation",French (Canada),"Stéphane Aubier, Vincent Patar",,"Stéphane Aubier, Vincent Patar, Stéphane Aubier, Vincent Patar",2009-12-16,2010-07-20,$165.3K,1h 15m,Zeitgeist,,,
BALTHAZAR,86,100,None,Drama,French (Canada),Robert Bresson,Mag Bodard,Robert Bresson,1970-02-19,2005-07-05,$39.4K,1h 30m,"Cinema Ventures, Rialto Pictures",Mono,,
DISTRICT 13: ULTIMATUM,55,75,R,Action,French (Canada),Patrick Alessandrin,Luc Besson,"Luc Besson, Luc Besson",2010-02-05,2010-04-27,$36.0K,1h 40m,Magnolia Pictures,,,
CARLOS,85,93,None,"Drama, Biography",French (Canada),Olivier Assayas,Daniel Leconte,"Olivier Assayas, Dan Franck, Daniel Leconte",2010-10-15,2011-09-27,$145.1K,2h 30m,IFC Films,,,
CONTEMPT,85,92,None,Drama,French (Canada),Jean-Luc Godard,"Georges de Beauregard, Carlo Ponti, Joseph E. Levine","Jean-Luc Godard, Alberto Moravia",1963-12-18,2010-02-16,$40.6K,1h 43m,"Criterion Collection, Embassy Pictures, Strand Releasing",Mono,"35mm, Scope (2.35:1)",
FAREWELL,76,86,None,"Mystery & Thriller, Drama",French (France),Christian Carion,"Philippe Boeffard, Bertrand Faivre, Christophe Rossignon","Christian Carion, Eric Raynaud, Eric Raynaud",2010-07-23,2011-04-12,,1h 53m,NeoClassics Films,,,
"FAREWELL, MY QUEEN",56,93,R,Drama,French (Canada),Benoît Jacquot,"Jean-Pierre Guérin, Kristina Larsen, Pedro Uriol","Benoît Jacquot, Gilles Taurand",,2013-01-15,$1.3M,1h 40m,,,,
INTIMATE STRANGERS,69,86,R,Drama,French (Canada),Patrice Leconte,"Christine Gozlan, Alain Sarde",Jérôme Tonnerre,2004-02-06,2004-12-28,$2.1M,1h 43m,Paramount Pictures,"Surround, Dolby SRD",Scope (2.35:1),
L'ENFANT,72,84,R,Drama,French (Canada),"Jean-Pierre Dardenne, Luc Dardenne","Jean-Pierre Dardenne, Luc Dardenne, Denis Freyd","Jean-Pierre Dardenne, Luc Dardenne",,2006-08-15,,1h 35m,,Dolby Digital,,
SUMMER HOURS,70,94,None,Drama,French (France),Olivier Assayas,,Olivier Assayas,2009-05-15,2009-10-06,$1.6M,1h 42m,IFC Films,,,
THE BRIDESMAID,59,93,None,Mystery & Thriller,French (Canada),Claude Chabrol,"Antonio Passalia, Patrick Godeau","Pierre Leccia, Claude Chabrol",,2007-03-20,$111.1K,1h 50m,,,,
LA FEMME NIKITA,84,89,R,"Mystery & Thriller, Action",French (Canada),Luc Besson,Patrice Ledoux,Luc Besson,1991-04-01,2008-12-02,$5.0M,1h 57m,Samuel Goldwyn Company,"Dolby Stereo, Dolby Digital, Dolby A, Surround, Dolby SR",Scope (2.35:1),
A GIRL CUT IN TWO,37,74,None,Comedy,French (Canada),Claude Chabrol,Patrick Godeau,"Claude Chabrol, Cécile Maistre",2008-08-15,2010-05-04,$409.7K,1h 54m,IFC First Take,Dolby,,
GRAND ILLUSION,92,97,None,"Drama, War",French (Canada),Jean Renoir,"Albert Pinkovitch, Frank Rollmer",,1937-09-12,1999-11-23,$516.5K,1h 57m,"Barr Entertainment, Home Vision Entertainment",,,
MY AFTERNOONS WITH MARGUERITTE,79,85,None,Drama,French (Canada),Jean Becker,Louis Becker,"Jean Becker, Jean-Loup Dabadie, Jean-Loup Dabadie, Jean Becker",2011-09-16,2012-06-19,,1h 22m,Cohen Media Group,,,
THE NAMES OF LOVE,78,72,R,"Romance, Comedy",French (Canada),Michel Leclerc,,"Michel Leclerc, Baya Kasmi",2011-07-15,2013-02-06,$513.2K,1h 24m,Music Box Films,Dolby Digital,,
MICMACS,74,72,R,"Comedy, Crime, Drama",French (Canada),Jean-Pierre Jeunet,"Frédéric Brillion, Jean-Pierre Jeunet, Gilles Legrand","Jean-Pierre Jeunet, Guillaume Laurant",2010-05-28,2010-09-07,$1.3M,1h 45m,Sony Pictures Classics,,,
MONSIEUR LAZHAR,86,97,PG-13,Drama,French (Canada),Philippe Falardeau,"Luc Déry, Kim McCraw",Philippe Falardeau,2012-04-13,2012-08-28,$2.0M,1h 34m,Music Box Films,,,
MY BEST FRIEND,69,75,PG-13,Comedy,French (Canada),Patrice Leconte,,"Jérôme Tonnerre, Patrice Leconte",2007-07-13,2007-10-16,$1.4M,1h 35m,IFC Films,,,
