Movie Name,Audience Score,Tomatometer Score,Rating,Genre,Original Language,Director,Producer,Writer,Release Date (Theaters),Release Date (Streaming),Box Office (Gross USA),Runtime,Distributor,Sound Mix,Aspect Ratio,View the collection
MAN UP,69,80,R,"Romance, Comedy",English,Ben Palmer,"James Biddle, Nira Park, Rachael Prior",Tess Morris,2015-11-13,2016-02-02,,1h 28m,Saban Films,,,
THE HOUSE OF THE DEVIL,63,85,R,Horror,English,Ti West,"Josh Braun, Roger Kass, Peter Phok, Larry Fessenden",Ti West,2009-10-30,2010-02-23,$100.7K,1h 33m,Magnolia Pictures,Dolby Digital,,
LUCKY,81,97,None,"Comedy, Drama",English,John Carroll Lynch,"Ira Steven Behr, Danielle Renfrew Behrens, Greg Gilreath, Adam Hendricks, Richard Kahan, John H. Lang, Logan Sparks, Drago Sumonja","Logan Sparks, Drago Sumonja",2017-09-29,2017-05-22,$955.7K,1h 28m,Magnolia Pictures,,Scope (2.35:1),
PAPRIKA,87,85,R,"Sci-Fi, Action, Adventure, Anime",Japanese,Satoshi Kon,"Jungo Maruta, Masao Takiyama","Satoshi Kon, Seishi Minakami",2007-06-01,2018-04-23,,1h 30m,Sony Pictures Classics,,,
"SUMMER OF SOUL (...OR, WHEN THE REVOLUTION COULD NOT BE TELEVISED)",98,99,PG-13,"Documentary, Music",English,"Ahmir ""Questlove"" Thompson","David Dinerstein, Robert Fyvolent, Joseph Patel",,2021-07-02,2021-07-02,$2.3M,1h 57m,Searchlight Pictures,"Dolby Digital, Stereo",,
THE BRIDGE ON THE RIVER KWAI,93,96,PG,"War, Drama",English,David Lean,Sam Spiegel,"Pierre Boulle, Michael Wilson, Carl Foreman",1957-12-18,2000-11-21,,2h 41m,Columbia Pictures,"Surround, Mono, Magnetic Stereo 6 Track, Stereo",Scope (2.35:1),
THE WORLD'S FASTEST INDIAN,89,82,PG-13,"Biography, Drama",English,Roger Donaldson,"Roger Donaldson, Gary Hannam",Roger Donaldson,2005-12-07,2006-06-13,$5.1M,2h 7m,Magnolia Pictures,Dolby Digital,,
SEE FOR ME,61,81,None,"Mystery & Thriller, Crime, Drama",English,Randall Okita,"Matt Code, Kristy Neville","Adam Yorke, Tommy Gushue",2022-01-07,2022-01-07,$51.2K,1h 33m,IFC Midnight,,,
SOMEONE GREAT,65,83,R,"Romance, Comedy",English,Jennifer Kaytin Robinson,,Jennifer Kaytin Robinson,,2019-04-19,,1h 32m,,,,
TERMS OF ENDEARMENT,83,81,PG,"Comedy, Drama",English,James L. Brooks,James L. Brooks,James L. Brooks,1983-11-23,2001-04-10,,2h 12m,Paramount Pictures,,,
THE INSIDER,90,96,R,Drama,English,Michael Mann,"Michael Mann, Pieter Jan Brugge","Eric Roth, Michael Mann",1999-11-05,2004-06-01,$29.0M,2h 37m,Buena Vista Pictures,Surround,,
SPIES IN DISGUISE,92,77,PG,"Kids & Family, Comedy, Adventure, Action, Animation",English,"Troy Quane, Nick Bruno","Peter Chernin, Jenno Topping, Michael J. Travers","Brad Copeland, Lloyd Taylor",2019-12-25,2019-12-27,$66.7M,1h 42m,20th Century Fox,"DTS, Dolby Atmos, Dolby Digital",Scope (2.35:1),
DARKMAN,59,84,R,"Action, Mystery & Thriller",English,Sam Raimi,Rob Tapert,"Sam Raimi, Chuck Pfarrer, Ivan Raimi, Joshua Goldin",1990-08-24,2010-08-11,$32.8M,1h 35m,"MCA/Universal Pictures [us], MCA/Universal Home Video","Dolby, Surround",,
LARS AND THE REAL GIRL,84,81,PG-13,"Comedy, Drama",English,Craig Gillespie,"Sarah Aubrey, John Cameron, Sidney Kimmel",Nancy Oliver,2007-10-12,2008-04-15,$5.9M,1h 47m,Metro-Goldwyn-Mayer,,,
SULLY,84,85,PG-13,"Drama, Biography",English,Clint Eastwood,"Clint Eastwood, Frank Marshall, Allyn Stewart, Tim Moore",Todd Komarnicki,2016-09-09,2016-12-20,$125.0M,1h 36m,Warner Bros. Pictures,,,
LETHAL WEAPON,86,80,R,"Action, Mystery & Thriller",English,Richard Donner,"Joel Silver, Richard Donner",Shane Black,1987-03-06,1997-08-22,$61.0M,1h 49m,"Warner Home Vídeo, Warner Bros.",Surround,,Lethal Weapon
8 1/2,92,98,None,Fantasy,English,Federico Fellini,Angelo Rizzoli,,1963-06-25,2001-12-04,$50.7K,2h 15m,"Embassy Pictures, Kino Pictures",,,
THE PERFECTION,57,71,None,"Horror, Mystery & Thriller",English,Richard Shepard,"Bill Block, Stacey Reiss, Richard Shepard","Richard Shepard, Eric Charmelo, Nicole Snyder",,2019-05-24,,1h 30m,,,,
THE TWO POPES,88,89,PG-13,Drama,English,Fernando Meirelles,"Tracey Seaward, Dan Lin, Jonathan Eirich","Anthony McCarten, Frank Cottrell Boyce",2019-11-27,2019-12-20,,2h 6m,Netflix,Dolby Atmos,,
WARGAMES,76,93,PG,"Mystery & Thriller, Action, Drama",English,John Badham,Harold Schneider,"Lawrence Lasker, Walter F. Parkes",1983-06-03,2001-01-25,,1h 53m,"Metro-Goldwyn-Mayer Distributing Corp., MGM/UA Home Entertainment Inc.",Surround,,
JOURNEY'S END,72,91,R,"War, History, Drama",English (United Kingdom),Saul Dibb,"Guy de Beaujeu, Simon Reade",Simon Reade,2018-03-16,2018-06-17,$132.4K,1h 47m,Good Deed Entertainment,,,
BABE,67,97,G,"Kids & Family, Comedy, Drama, Fantasy",English (Australia),Chris Noonan,"Bill Miller, George Miller, Doug Mitchell","Dick King-Smith, George Miller, Chris Noonan",1995-08-04,2003-09-23,$63.6M,1h 34m,"Universal Home Entertainment, Universal Pictures, MCA/Universal Pictures [us]","Surround, Stereo",,
BEND IT LIKE BECKHAM,73,85,PG-13,Comedy,English,Gurinder Chadha,"Deepak Nayar, Gurinder Chadha","Paul Mayeda Berges, Gurinder Chadha, Guljit Bindra",2003-03-12,2003-09-30,$32.5M,1h 52m,Fox,"Dolby Stereo, Dolby Digital, Dolby A, Surround, Dolby SR",Flat (1.85:1),
CHARADE,92,94,None,"Mystery & Thriller, Comedy",English,Stanley Donen,Stanley Donen,"Peter Stone, Marc Behm, Peter Stone",1963-12-05,2000-09-15,,1h 54m,"D3K Entertainment, UAV Entertainment, Criterion Collection, Universal Pictures, Reel Media International [us], Laserlight Entertainment",Mono,,
THE SQUID AND THE WHALE,81,92,R,Drama,English,Noah Baumbach,"Wes Anderson, Noah Baumbach, Peter Newman","Wes Anderson, Noah Baumbach",2005-10-05,2006-03-21,$7.4M,1h 20m,IDP Distribution,,,
HAIRSPRAY,84,92,PG,"Musical, Comedy",English,Adam Shankman,"Craig Zadan, Neil Meron",Leslie Dixon,2007-07-20,2007-11-20,$118.8M,1h 55m,New Line Cinema,"Dolby SRD, DTS, SDDS",Scope (2.35:1),
THE VOID,48,78,None,Horror,English,"Jeremy Gillespie, Steven Kostanski","Jonathan Bronfman, Casey Walker","Jeremy Gillespie, Steven Kostanski",2017-04-07,2017-07-18,$150.4K,1h 30m,Screen Media Films,,,
SOME LIKE IT HOT,94,94,None,Comedy,English,Billy Wilder,Billy Wilder,"I.A.L. Diamond, M. Logan, Robert Thoeren, Billy Wilder",1959-03-01,2006-07-18,,2h 0m,Metro-Goldwyn-Mayer,Mono,Flat (1.85:1),
THE VIRGIN SUICIDES,81,79,R,Drama,English,Sofia Coppola,"Francis Ford Coppola, Julie Costanzo, Dan Halsted, Chris Hanley","Sofia Coppola, Jeffrey Eugenides",1999-05-12,2007-08-07,$4.9M,1h 37m,Paramount Pictures,"Dolby Stereo, Dolby SR, Dolby Digital, Surround",,
"QUO VADIS, AIDA?",90,100,None,"Drama, War",Bosnian,Jasmila Zbanic,"Damir Ibrahimovich, Jasmila Zbanic",Jasmila Zbanic,2021-03-05,2021-03-15,,1h 42m,Super LTD,,,
21 GRAMS,86,81,R,Drama,English,Alejandro González Iñárritu,"Robert Salerno, Alejandro González Iñárritu",Guillermo Arriaga,2004-01-09,2004-03-16,$16.2M,2h 5m,Focus Features,Surround,,
BORDER,76,97,R,"Fantasy, Horror, Mystery & Thriller, Romance",Swedish,Ali Abbasi,"Nina Bisgaard, Peter Gustafsson, Petra Jönsson","Ali Abbasi, Isabella Eklöf, John Ajvide Lindqvist",2018-10-26,2019-02-22,$771.9K,1h 48m,Neon,Dolby Digital,Scope (2.35:1),
TALLADEGA NIGHTS: THE BALLAD OF RICKY BOBBY,73,71,PG-13,Comedy,English,Adam McKay,"Judd Apatow, Jimmy Miller","Will Ferrell, Adam McKay",2006-08-04,2006-12-12,$148.2M,1h 50m,Sony Pictures Entertainment,"SDDS, DTS, Dolby SRD",Scope (2.35:1),
KEANU,55,78,R,"Comedy, Action",English,Peter Atencio,"Keegan-Michael Key, Jordan Peele, Peter Principato, Paul Young, Joel Zadak","Jordan Peele, Alex Rubens",2016-04-29,2016-08-02,$20.6M,1h 40m,Warner Bros. Pictures,,,
LILO & STITCH,77,87,PG,"Kids & Family, Comedy, Animation",English,"Dean DeBlois, Christopher Sanders",Clark Spencer,"Dean DeBlois, Christopher Sanders",2002-06-21,2005-10-04,,1h 25m,Walt Disney Pictures,"Dolby Stereo, Dolby Digital, Dolby A, Surround, Dolby SR",Flat (1.85:1),
INFERNAL AFFAIRS,95,94,R,"Crime, Drama, Action, Mystery & Thriller",Chinese,"Andrew Lau Wai-Keung, Alan Mak",Andy Lau,"Felix Chong, Alan Mak",2004-09-24,2004-12-07,$89.6K,1h 40m,"Miramax Films, Universal Pictures","Surround, Dolby Digital",,
SYRIANA,67,73,R,"Drama, Mystery & Thriller",English,Stephen Gaghan,"George Clooney, Ben Cosgrove, Jennifer Fox","Robert Baer, Stephen Gaghan, John Bowker",2005-12-09,2006-06-20,$50.8M,2h 8m,Warner Bros.,"Dolby SRD, DTS, SDDS",Scope (2.35:1),
THE BETA TEST,62,92,None,"Mystery & Thriller, Comedy",English,"Jim Cummings, PJ McCabe","Natalie Metzger, Matt Miller, Benjamin Wiessner","Jim Cummings, PJ McCabe",2021-11-05,2021-11-05,$30.2K,1h 34m,IFC Films,,,
THE MUPPETS,80,95,PG,"Kids & Family, Comedy",English,James Bobin,"David Hoberman, Todd Lieberman","Jason Segel, Nicholas Stoller",2011-11-23,2012-03-20,$88.6M,1h 38m,Walt Disney,,,
THE RETURN OF THE LIVING DEAD,79,91,R,"Horror, Comedy",English,Dan O'Bannon,Tom Fox,Dan O'Bannon,1985-08-16,2007-09-11,,1h 31m,Metro-Goldwyn-Mayer,,,
AN AMERICAN WEREWOLF IN LONDON,85,89,R,"Horror, Comedy",English,John Landis,George Folsey Jr.,John Landis,1981-04-21,2009-09-15,,1h 37m,"Live Video, Polygram, Universal Pictures, Vestron Video, MCA/Universal Pictures [us]",,,
NIGHT OF THE LIVING DEAD,87,96,None,Horror,English,George A. Romero,"Karl Hardman, Russell Streiner","George A. Romero, John A. Russo",1968-10-01,2001-03-01,$68.7K,1h 36m,"Master Movies, Sinister Cinema, Anchor Bay Entertainment, Elite Entertainment Inc., Something Weird Video, Vestron Video, Reel Media International [us], Image Entertainment Inc., Continental Distributing Inc., BijouFlix Releasing, Republic Pictures, United Video, Navarre Entertainment, UAV Entertainment",Mono,Academy (1.33:1),
SOLARIS,89,92,PG,"Sci-Fi, Drama",Russian,Andrei Tarkovsky,Viacheslav Tarasov,"Fridrikh Gorenshteyn, Stanislaw Lem, Andrei Tarkovsky",1972-03-20,2003-04-09,,2h 49m,"Image Entertainment Inc., Fox Lorber, Criterion Collection",Mono,Scope (2.35:1),
THE OMEN,80,84,R,Horror,English,Richard Donner,Harvey Bernhard,David Seltzer,1976-06-25,2003-09-02,,1h 51m,"CBS/Fox, 20th Century Fox, 20th Century Fox Home Entertainment, Fox",Mono,Scope (2.35:1),
BAD EDUCATION,83,94,None,"Comedy, Drama",English,Cory Finley,"Fred Berger, Brian Kavanaugh-Jones, Julia Lebedev, Mike Makowsky, Oren Moverman, Eddie Vaisman",Mike Makowsky,,2020-04-26,,1h 48m,,Dolby Digital,Scope (2.35:1),
GOSFORD PARK,78,87,R,"Mystery & Thriller, Comedy, Drama",English,Robert Altman,"Robert Altman, David Levy, Bob Balaban",Julian Fellowes,2001-12-26,2002-06-25,$41.3M,2h 17m,USA Films,"Dolby SR, DTS, Dolby Stereo, Surround, SDDS, Dolby A, Dolby Digital",Scope (2.35:1),
IN THE EARTH,24,80,R,"Horror, Mystery & Thriller",English,Ben Wheatley,Andrew Starke,Ben Wheatley,2021-04-16,2021-04-22,$1.1M,1h 40m,NEON,,,
AIR FORCE ONE,66,79,R,"Mystery & Thriller, Action",English,Wolfgang Petersen,"Jonathan Shestack, Gail Katz",Andrew W. Marlowe,1997-07-25,2000-12-26,$172.7M,2h 4m,"Columbia Tristar, Columbia Pictures, Buena Vista Home Entertainment [br], Buena Vista International [us], Sony Pictures Entertainment, Columbia TriStar Home Video","SDDS, Dolby Digital, DTS, Surround",,
GHOST IN THE SHELL,89,95,None,"Action, Sci-Fi, Anime",Japanese,Mamoru Oshii,"Mitsuhisa Ishikawa, Ken Iyadomi, Ken Matsumoto, Yoshimasa Mizuo",Kazunori Itô,,2010-12-15,,1h 25m,,,,
SPARTACUS,87,94,PG-13,"History, Drama, Action",English,Stanley Kubrick,Edward Lewis,"Howard Fast, Dalton Trumbo, Calder Willingham",1960-10-07,2001-04-24,$1.7M,3h 4m,Universal Pictures,"Stereo, Magnetic Stereo 6 Track",Scope (2.35:1),
THE SIMPSONS MOVIE,77,87,PG-13,"Comedy, Animation",English,David Silverman,"James L. Brooks, Matt Groening, Al Jean, Mike Scully, Richard Sakai","James L. Brooks, Matt Groening, Al Jean, Mike Scully, Ian Maxtone-Graham, George Meyer, David Mirkin, Mike Reiss, Matt Selman, John Swartzwelder, Jon Vitti",2007-07-27,2007-12-18,$183.1M,1h 26m,20th Century Fox,"Dolby SRD, DTS, SDDS",Scope (2.35:1),
BLOCKERS,51,84,R,Comedy,English,Kay Cannon,"Evan Goldberg, Seth Rogen, James Weaver, Jon Hurwitz, Hayden Schlossberg, Chris Fenton","Brian Kehoe, Jim Kehoe",2018-04-06,2018-07-03,$59.8M,1h 42m,Universal Pictures,,Scope (2.35:1),
