Movie Name,Audience Score,Tomatometer Score,Rating,Genre,Original Language,Director,Producer,Writer,Release Date (Theaters),Release Date (Streaming),Box Office (Gross USA),Runtime,Distributor,Sound Mix,Aspect Ratio,View the collection
MOMMY,89,88,R (Sexual References|Language Throughout|Some Violence),Drama,French (Canada),Xavier Dolan,"Xavier Dolan, Nancy Grant","Xavier Dolan, Xavier Dolan","Jan 23, 2015  Limited","Mar 17, 2015",$3.4M,2h 19m,Roadside Attractions,,,
ON THE WATERFRONT,95,99,,Drama,English,Elia Kazan,Sam Spiegel,"Budd Schulberg, Budd Schulberg","Jul 28, 1954  Original","Oct 23, 2001",,1h 48m,Columbia Pictures,Mono,35mm,
SIDNEY,79,90,PG-13 (Racial Slurs|Some Smoking|Some Language),Documentary,English,Reginald Hudlin,"Derik Murray, Oprah Winfrey",Jesse James Miller,,"Sep 23, 2022",,1h 47m,,,,
DON'T THINK TWICE,69,98,R (Some Drug Use|Language),"Comedy, Drama",English,Mike Birbiglia,"Ira Glass, Miranda Bailey, Amanda Marshall",Mike Birbiglia,"Jul 22, 2016  Limited","Dec 6, 2016",$4.4M,1h 28m,The Film Arcade,,,
SATOR,35,90,,"Horror, Mystery & Thriller",English,Jordan Graham,Jordan Graham,Jordan Graham,,"Feb 9, 2021",,1h 26m,,,,
SMALL ENGINE REPAIR,85,79,R (Pervasive Language|Drug Use|Crude Sexual Content|Sexual Assault|Strong Violence),"Comedy, Drama",English,John Pollono,"Peter Abrams, Jon Bernthal, Rick Rosenthal, Noah Rothman",John Pollono,"Sep 10, 2021  Limited","Sep 30, 2021",$73.0K,1h 43m,Vertical Entertainment,,,
THE WALK,77,83,PG (Language|Brief Drug References|Thematic Elements|Perilous Situations|Smoking|Some Nudity),"Biography, Drama, Adventure",English,Robert Zemeckis,"Steve Starkey, Robert Zemeckis, Jack Rapke","Robert Zemeckis, Christopher Browne","Oct 9, 2015  Wide","Jan 5, 2016",$10.1M,2h 4m,Sony Pictures Entertainment,Dolby Digital,Scope (2.35:1),
WHITE MEN CAN'T JUMP,69,77,R,Comedy,English,Ron Shelton,"Don Miller, David V. Lester",Ron Shelton,,"Jul 25, 2000",$71.6M,1h 54m,,Surround,,
DEAD AGAIN,76,82,R,"Mystery & Thriller, Drama",English,Kenneth Branagh,"Charles H. Maguire, Lindsay Doran",Scott Frank,"Aug 23, 1991  Wide","Jun 27, 2000",$35.5M,1h 47m,Paramount Pictures,"Surround, Dolby SR, Dolby A, Dolby Stereo",Flat (1.85:1),
STAR TREK: FIRST CONTACT,89,92,PG-13 (Some Sci-Fi Adventure Violence),Sci-Fi,English,Jonathan Frakes,Rick Berman,"Gene Roddenberry, Rick Berman, Brannon Braga, Ronald D. Moore, Brannon Braga, Ronald D. Moore","Nov 22, 1996  Wide","Oct 6, 1998",$92.0M,1h 50m,Paramount Pictures,"Dolby SR, Dolby A, DTS, Surround, Dolby Digital",Scope (2.35:1),Star Trek
THANK YOU FOR SMOKING,87,86,R (Some Sexual Content|Language),"Comedy, Drama",English,Jason Reitman,David Sacks,Jason Reitman,,"Oct 3, 2006",$24.8M,1h 32m,,Dolby SRD,Scope (2.35:1),
THE RED SHOES,92,97,,"Drama, Romance",English (United Kingdom),"Michael Powell, Emeric Pressburger","Michael Powell, Emeric Pressburger","Hans Christian Andersen, Michael Powell, Emeric Pressburger, Keith Winter, Marius Goring","Sep 6, 1948  Original","Mar 1, 2001",,2h 13m,"Criterion Collection, MCA/Universal Pictures [us]",Mono,,
CHARM CITY KINGS,67,79,R (Some Violence|Sexual References|Pervasive Language),Drama,English,Angel Manuel Soto,"Marc Bienstock, Clarence Hammond, Caleeb Pinkett","Christopher M. Boyd, Sherman Payne",,"Oct 8, 2020",,2h 5m,,,,
