Movie Name,Audience Score,Tomatometer Score,Rating,Genre,Original Language,Director,Producer,Writer,Release Date (Theaters),Release Date (Streaming),Box Office (Gross USA),Runtime,Distributor,Sound Mix,Aspect Ratio,View the collection
MONSIEUR LAZHAR,86,97,PG-13 (Mature Thematic Material|Brief Language|A Disturbing Image),Drama,French (Canada),Philippe Falardeau,"Luc Déry, Kim McCraw",Philippe Falardeau,"Apr 13, 2012  Limited","Aug 28, 2012",$2.0M,1h 34m,Music Box Films,,,
MY BEST FRIEND,69,75,PG-13 (Some Strong Language),Comedy,French (Canada),Patrice Leconte,,"Jérôme Tonnerre, Patrice Leconte","Jul 13, 2007  Original","Oct 16, 2007",$1.4M,1h 35m,IFC Films,,,
SÉRAPHINE,80,88,,"Biography, Drama, War",French (Canada),Martin Provost,"Miléna Poylo, Gilles Sacuto","Marc Abdelnour, Martin Provost","Jun 5, 2009  Limited","Jun 2, 2009",$883.3K,2h 5m,Music Box Films,,,
THE BARBARIAN INVASIONS,88,81,R (Sexual Dialogue|Language|Drug Content),"Comedy, Drama",French (Canada),Denys Arcand,"Denise Robert, Daniel Louis",Denys Arcand,"Aug 30, 2003  Original","Jul 13, 2004",$3.4M,1h 39m,Miramax Films,,,
THE BIG PICTURE,63,86,,Drama,French (Canada),Éric Lartigau,Pierre-Ange Le Pogam,"Stéphane Cabel, Laurent De Bartillat, Éric Lartigau, Laurent De Bartillat, Éric Lartigau, Stéphane Cabel",,"Jan 4, 2011",$158.4K,1h 54m,,,,
THE DISCREET CHARM OF THE BOURGEOISIE,89,98,PG,Comedy,French (Canada),Luis Buñuel,Serge Silberman,"Luis Buñuel, Jean-Claude Carrière","Sep 15, 1972  Original","Oct 28, 2008",$74.9K,1h 40m,"Applause Video, Media Home Entertainment, Rialto Pictures, 20th Century Fox, Criterion Collection",Mono,,
THE FATHER OF MY CHILDREN,61,90,,Drama,French (Canada),Mia Hansen-Løve,"Oliver Damian, Philippe Martin, David Thion","Mia Hansen-Løve, Mia Hansen-Løve","May 21, 2010  Limited","Mar 29, 2011",$144.0K,1h 50m,IFC Films,,,
THE HEDGEHOG,83,87,,"Comedy, Drama",French (Canada),Mona Achache,Anne-Dominique Toussaint,Mona Achache,"Aug 19, 2011  Limited","Jan 17, 2012",,1h 40m,Neoclassic Films,,,
THE KID WITH A BIKE,76,96,PG-13 (Thematic Elements|Smoking|Brief Language|Violence),Drama,French (Canada),"Jean-Pierre Dardenne, Luc Dardenne","Jean-Pierre Dardenne, Luc Dardenne, Denis Freyd","Jean-Pierre Dardenne, Luc Dardenne, Jean-Pierre Dardenne, Luc Dardenne","Mar 16, 2012  Limited","Feb 12, 2013",$20.5K,1h 27m,IFC Films,,,
THE MAN ON THE TRAIN,79,92,R (Some Language|Brief Violence),"Comedy, Drama",French (Canada),Patrice Leconte,Philippe Carcassonne,Claude Klotz,"May 9, 2003  Wide","Nov 25, 2003",$2.5M,1h 30m,Paramount Pictures,"Dolby SR, DTS, Dolby Stereo, Surround, Dolby A, Dolby Digital",Scope (2.35:1),
THE MIDWIFE,78,88,,"Comedy, Drama",French (France),Martin Provost,"Olivier Delbosc, Jacques-Henri Bronckart, Olivier Bronckart","Martin Provost, Martin Provost","Jul 21, 2017  Limited","Oct 17, 2017",$603.1K,1h 57m,Music Box Films,,,
THE NEW GIRLFRIEND,61,80,R (Some Strong Sexual Content|Graphic Nudity),"Mystery & Thriller, Comedy, Drama",French (Canada),François Ozon,"Éric Altmayer, Nicolas Altmayer","François Ozon, François Ozon","Sep 18, 2015  Limited","Jul 2, 2016",$130.3K,1h 47m,Cohen Media Group,,,
THE PAGE TURNER,67,77,,"Drama, Mystery & Thriller",French (Canada),Denis Dercourt,,,,"Mar 4, 2014",$208.7K,1h 25m,,,,
