,x,y,label,title
0,-0.7522730350843386,-0.016517962581746457,2,Feel Your Heartbeat: The Film (2022)
1,-0.5368310428127915,-0.3896585122861182,0,The Witcher 3: Wild Hunt - Blood and Wine (2016)
2,0.12031166098844558,0.7362836557028218,0,The Witcher 3: Wild Hunt - Hearts of Stone (2015)
3,0.7335700254387449,0.03498795652859713,1,Brothers from Malta (2022)
4,0.3598703972766324,-0.08943048435057119,0,The Priceless Moments (2021)
5,-0.004282857991236628,-0.27628593487514114,3,Dancing Through the Shadow (2021)
6,-0.47749438354422236,-0.5867843711102919,0,Legend of the Galactic Heroes (1988)
7,0.2502614546160564,0.7766068788763161,0,"Carlo Goldoni: Venezia, Gran Teatro del Mondo (2007)"
8,-0.6401937208929023,0.4175100629123517,0,Voynata na taralezhite (1979)
9,-0.4010995445285715,-0.23256464351092984,2,Flames (2018)
10,-0.667789413621942,0.35386132968069445,0,The Mystery of the Black Book (2019)
11,-0.7605502364314868,0.3131923339304557,0,A tanú (1969)
12,-0.5045041242334124,-0.2528272787320313,2,The Big Picture (2007)
13,-0.10074346207130254,-0.5290051605388535,5,"Pretty Village, Pretty Flame (1996)"
14,0.6782382032367127,0.24623867059284543,0,Yakhanyeongung (2022)
15,0.10318744352118714,-0.1336336432751756,3,The Intouchables (2011)
16,-0.5369092205231089,-0.619430269461398,0,Attack on Titan: Chronicle (2020)
17,-0.6030822091588641,-0.3121061404535752,2,Midnight Diner: Tokyo Stories (2016)
18,0.07258652616556868,0.7354914125221895,0,Capernaum (2018)
19,0.21999655351112335,0.7855415698476275,0,Flames: The Movie (1997)
20,-0.034084507827737476,-0.6604201893394362,5,Ernest & Rebecca (2019)
21,0.15198472315231193,0.38861946334582853,3,Heartbeat (2021)
22,0.12801613899701084,0.1901418284827653,0,The Hunt (2012)
23,0.6080687452819135,-0.16211840315038473,1,Pather Panchali (1955)
24,0.735115061478474,0.016342923579703756,1,Incendies (2010)
25,-0.3924109549536142,-0.5451597854799095,0,Supercops V/S Supervillains (2012)
26,-0.6192642239844819,-0.18127005905389948,2,The Lemon Tree (1993)
27,-0.5386972780174216,0.5567624531231612,0,The Case Is Solved. I Know Everyone Who Tried to Kill Me (2020)
28,-0.5723842976219135,0.3821616815191245,0,Not Knowing Who You Are Is a Beautiful Source of Surprises (2016)
29,0.469787365348985,0.6199453041783771,0,The Passion of Joan of Arc (1928)
30,-0.6942690167210916,0.05306347306372294,2,An Action Hero (2022)
31,0.400979031080561,-0.3352985409184013,0,Rocco and His Brothers (1960)
32,0.19068419676061743,-0.7538074595266068,0,The Grandmaster of Kungfu (2019)
33,-0.4797648799358487,-0.6619934270989295,0,Black Butler: Book of Circus (2014)
34,0.19068757381175053,-0.753806322440341,0,Legend of the Blue Sea (2016)
35,0.16943288489485075,-0.4824397771392129,0,Mobile Suit Zeta Gundam (1985)
36,0.005072149954876292,0.5427297362110088,2,@ in the Mood for Love (2001)
37,-0.64245743923867,-0.050711651177463346,5,The War on Drugs (2007)
38,-0.0852802183182801,-0.1021217735013222,3,Un amour à taire (2005)
39,-0.4801342498093867,0.6768673403625951,0,Jean Michel Jarre: Oxygene in Moscow (1997)
40,-0.43376018795442245,-0.4589922276007672,5,Oxygen (2018)
41,-0.033915759892357664,-0.6953887848647737,5,Path of Exile (2012)
42,0.5363703258281289,-0.43033438711905386,3,Tokyo Girl (2016)
43,0.3988084592726029,-0.6152391563146039,0,Perfect Blue (1997)
44,0.5191725738931525,-0.5568044095274817,0,The Long Road Home (1989)
45,0.3348337293899309,0.5329942557244502,0,Everybody Wants to Help Ernest (1991)
46,-0.15484616660574552,-0.5077703286903795,5,Steamin' and Dreamin': The Grandmaster Cash Story (2009)
47,0.6477446852136919,-0.0839707089472347,1,Liebe Amelie (2005)
48,-0.2723840811241498,0.5099968103375261,4,The Long Road Home (2012)
49,-0.5162581680376405,0.07672943715717181,4,Infernal Affairs (2002)
50,-0.6554268012316902,-0.16502156189452066,2,The Beaches of Agnès (2008)
51,-0.45641123724984795,-0.21037594798872974,2,Black Butler: Book of Murder (2014)
52,0.07546155575672388,0.28443328400554796,4,Mommy (2014)
53,-0.0392963000611207,-0.47694160522529244,0,Girls Hostel (2018)
54,-0.4666045498168111,-0.3492380299594255,2,Fearless Whispers (2020)
55,-0.7082949798062902,0.286769314017426,0,Athena Ex Nihilo (2013)
56,-0.7974120350282906,0.18715343982222624,0,The Fairy Faith (2000)
57,-0.5175903686847365,-0.32002588689871314,2,24 Hrs. In the City (2003)
58,0.3988084592726017,-0.6152391563146044,0,Cléo from 5 to 7 (1962)
59,0.36248926283757055,0.6445437483149247,0,Elevator to the Gallows (1958)
60,-0.18368415871601618,0.24566111818374078,4,Three Colors: Blue (1993)
61,-0.4531363771415719,-0.2579235859986905,2,The Arbit Documentation of An Amphibian Hunt: Aavasavyuham (2022)
62,0.40049818219803063,0.18268901220993275,1,Amour (2012)
63,-0.03720341976286099,-0.6072258207943131,5,Last Exile (2003)
64,-0.2696460063661556,-0.7168453030532838,0,Sonic the Hedgehog CD (1993)
65,0.6844834542575051,0.0016281204145428695,1,The Two of Us (2009)
66,0.788694141362972,0.2546905762522523,0,"Ernest and Célestine, The Collection (2017)"
67,0.2644612705741775,-0.7696464267658822,0,Mazinger Z (1972)
68,-0.7522730350843546,-0.016517962581424704,2,A Year at the Front: Behind the Scenes of 'A Very Long Engagement' (2005)
69,0.09410993101655005,-0.4846732801618292,5,The Music According to Antonio Carlos Jobim (2012)
70,-0.39961683773462825,0.3278715957708889,4,Tokyo Godfathers (2003)
