,title,country,genre,original title,rating,ratingcount,url,year,cluster
391,Raw Deal (1977),Australia,Western,,"6,4",56.0,https://www.imdb.com/title/tt0076601/,1977.0,4
392,Si j'étais elle (2004),Belgium,"Comedy, Romance",,"6,4",61.0,https://www.imdb.com/title/tt0432442/,2004.0,4
393,L'enfant endormi (2004),Belgium,Drama,,"6,4",140.0,https://www.imdb.com/title/tt0424997/,2004.0,5
394,Amour Fou (2014),Austria,"Comedy, Drama",Amour fou,"6,4",1608.0,https://www.imdb.com/title/tt3003800/,2014.0,3
395,Shinmitsuna tanin (2021),Japan,Thriller,,"6,4",9.0,https://www.imdb.com/title/tt15630786/,2021.0,5
396,Number One Fan (2014),France,"Comedy, Drama, Thriller",Elle l&apos;adore,"6,4",1863.0,https://www.imdb.com/title/tt3433358/,2014.0,2
397,The Vanished Elephant (2014),Peru,"Mystery, Thriller",El elefante desaparecido,"6,4",361.0,https://www.imdb.com/title/tt3424914/,2014.0,4
398,On My Way (2013),France,"Comedy, Drama",Elle s&apos;en va,"6,4",2407.0,https://www.imdb.com/title/tt2289538/,2013.0,4
399,Young and Miserable or A Man Screaming Is Not a Dancing Bear (2016),Brazil,"Comedy, Drama, Musical",Young and Miserable or a Man Screaming Is Not a Dancing Bear,"6,4",22.0,https://www.imdb.com/title/tt5507620/,2016.0,4
400,Amour fou (2020),France,"Drama, Mystery, Thriller",,"6,4",93.0,https://www.imdb.com/title/tt11695720/,2020.0,0
401,Oxygen (2020),Thailand,Romance,,"6,4",170.0,https://www.imdb.com/title/tt13084920/,2020.0,4
402,Oxygen (2020),Thailand,Romance,,"6,4",170.0,https://www.imdb.com/title/tt13084920/,2020.0,0
403,Oxygen (2020),Australia,"Short, Thriller",,,,https://www.imdb.com/title/tt12402708/,2020.0,4
404,Oxygen (2020),Australia,"Short, Thriller",,,,https://www.imdb.com/title/tt12402708/,2020.0,0
405,Athena: Goddess of War (2010),South Korea,"Action, Romance, Thriller",Athena: Jeonjaeng-ui Yeoshin,"6,4",429.0,https://www.imdb.com/title/tt1942171/,2010.0,4
406,Code Geass: Akito the Exiled Final - To Beloved Ones (2016),Japan,"Animation, Action, Sci-Fi",Code Geass: Boukoku no Akito Final - Itoshiki Monotachi e,"6,3",529.0,https://www.imdb.com/title/tt5920384/,2016.0,4
407,Nachala hanem (1953),Egypt,"Comedy, Crime",,"6,3",44.0,https://www.imdb.com/title/tt0318478/,1953.0,4
408,Kislorod (2009),Russia,"Drama, Musical, Romance",,"6,3",809.0,https://www.imdb.com/title/tt1441309/,2009.0,2
409,Suçlu Benim (1953),Turkey,Drama,,"6,3",11.0,https://www.imdb.com/title/tt0324130/,1953.0,5
410,L'enfant lion (1993),France,Family,,"6,3",297.0,https://www.imdb.com/title/tt0106820/,1993.0,5
411,Punttikomedia (2022),Finland,Comedy,,"6,3",102.0,https://www.imdb.com/title/tt14353504/,2022.0,0
412,Love is in the Air (2013),France,"Comedy, Romance",Amour &amp; turbulences,"6,3",5026.0,https://www.imdb.com/title/tt2298384/,2013.0,0
413,Flaming Brothers (1987),Hong Kong,"Action, Crime, Romance",Gong woo lung foo dau,"6,3",632.0,https://www.imdb.com/title/tt0093305/,1987.0,4
414,The Rules of the Game (1999),Hong Kong,Crime,San ga fat,"6,3",100.0,https://www.imdb.com/title/tt0885523/,1999.0,4
415,I Know Who You Are (2000),Spain,"Drama, Thriller",Sé quién eres,"6,3",336.0,https://www.imdb.com/title/tt0239955/,2000.0,5
416,Mission: Monte Carlo (1974),Italy,"Action, Crime, Drama",,"6,3",139.0,https://www.imdb.com/title/tt0301623/,1974.0,4
417,Wa dong ren (2002),Germany,"Drama, Crime",,"6,3",51.0,https://www.imdb.com/title/tt0312001/,2002.0,4
418,Smutek paní Snajderové (2008),Albania,"Drama, Romance",,"6,3",144.0,https://www.imdb.com/title/tt0494841/,2008.0,4
419,The Assassin (2015),China,"Action, Drama, History",Cike Nie Yin Niang,"6,3",17086.0,https://www.imdb.com/title/tt3508840/,2015.0,4
420,A Flame in My Heart (1987),France,Drama,Une flamme dans mon coeur,"6,3",262.0,https://www.imdb.com/title/tt0094218/,1987.0,2
421,Avec amour et acharnement (2022),France,"Drama, Romance, Thriller",,"6,3",1694.0,https://www.imdb.com/title/tt13535920/,2022.0,3
422,Song of the Assassins (2022),China,Action,Qing mian Xiuluo,"6,3",65.0,https://www.imdb.com/title/tt8032932/,2022.0,0
