,x,y,label,title
0,-0.7522730350843386,-0.016517962581746457,4,Feel Your Heartbeat: The Film (2022)
1,-0.5368310428127915,-0.3896585122861182,4,The Witcher 3: Wild Hunt - Blood and Wine (2016)
2,0.12031166098844558,0.7362836557028218,4,The Witcher 3: Wild Hunt - Hearts of Stone (2015)
3,0.7335700254387449,0.03498795652859713,1,Brothers from Malta (2022)
4,0.3598703972766324,-0.08943048435057119,1,The Priceless Moments (2021)
5,-0.004282857991236628,-0.27628593487514114,2,Dancing Through the Shadow (2021)
6,-0.47749438354422236,-0.5867843711102919,4,Legend of the Galactic Heroes (1988)
7,0.2502614546160564,0.7766068788763161,4,"Carlo Goldoni: Venezia, Gran Teatro del Mondo (2007)"
8,-0.6401937208929023,0.4175100629123517,4,Voynata na taralezhite (1979)
9,-0.4010995445285715,-0.23256464351092984,2,Flames (2018)
10,-0.667789413621942,0.35386132968069445,4,The Mystery of the Black Book (2019)
11,-0.7605502364314868,0.3131923339304557,4,A tanú (1969)
12,-0.5045041242334124,-0.2528272787320313,2,The Big Picture (2007)
13,-0.10074346207130254,-0.5290051605388535,4,"Pretty Village, Pretty Flame (1996)"
14,0.6782382032367127,0.24623867059284543,4,Yakhanyeongung (2022)
15,0.10318744352118714,-0.1336336432751756,5,The Intouchables (2011)
16,-0.5369092205231089,-0.619430269461398,4,Attack on Titan: Chronicle (2020)
17,-0.6030822091588641,-0.3121061404535752,2,Midnight Diner: Tokyo Stories (2016)
18,0.07258652616556868,0.7354914125221895,4,Capernaum (2018)
19,0.21999655351112335,0.7855415698476275,4,Flames: The Movie (1997)
20,-0.034084507827737476,-0.6604201893394362,4,Ernest & Rebecca (2019)
21,0.15198472315231193,0.38861946334582853,3,Heartbeat (2021)
22,0.12801613899701084,0.1901418284827653,1,The Hunt (2012)
23,0.6080687452819135,-0.16211840315038473,1,Pather Panchali (1955)
24,0.735115061478474,0.016342923579703756,1,Incendies (2010)
25,-0.3924109549536142,-0.5451597854799095,4,Supercops V/S Supervillains (2012)
26,-0.6192642239844819,-0.18127005905389948,2,The Lemon Tree (1993)
27,-0.5386972780174216,0.5567624531231612,4,The Case Is Solved. I Know Everyone Who Tried to Kill Me (2020)
28,-0.5723842976219135,0.3821616815191245,4,Not Knowing Who You Are Is a Beautiful Source of Surprises (2016)
29,0.469787365348985,0.6199453041783771,4,The Passion of Joan of Arc (1928)
30,-0.6942690167210916,0.05306347306372294,4,An Action Hero (2022)
